Cls	Name	Accuracy	F1	BA	calF1	MCC	avg4
surface	bathypathfinder	0.959	0.973	0.946	0.931	0.885	0.934
bathy	bathypathfinder	0.974	0.195	0.566	0.535	0.203	0.375
nonsurface	bathypathfinder	0.889	0.195	0.554	0.525	0.163	0.359
surface	coastnet	0.959	0.973	0.946	0.931	0.885	0.934
bathy	coastnet	0.991	0.794	0.901	0.835	0.789	0.830
nonsurface	coastnet	0.959	0.795	0.891	0.826	0.773	0.821
surface	cshelph	0.959	0.973	0.946	0.931	0.885	0.934
bathy	cshelph	0.982	0.407	0.634	0.578	0.465	0.521
nonsurface	cshelph	0.923	0.407	0.632	0.576	0.445	0.515
surface	medianfilter	0.959	0.973	0.946	0.931	0.885	0.934
bathy	medianfilter	0.987	0.669	0.797	0.711	0.667	0.711
nonsurface	medianfilter	0.943	0.673	0.789	0.704	0.648	0.704
surface	openoceanspp	0.948	0.966	0.910	0.894	0.848	0.905
bathy	openoceanspp	0.985	0.686	0.850	0.771	0.679	0.747
nonsurface	openoceanspp	0.949	0.730	0.842	0.762	0.702	0.759
surface	qtrees	0.947	0.965	0.929	0.908	0.850	0.913
bathy	qtrees	0.986	0.611	0.743	0.661	0.625	0.660
nonsurface	qtrees	0.939	0.612	0.738	0.656	0.603	0.652
surface	ensemble	0.984	0.989	0.971	0.968	0.953	0.970
bathy	ensemble	0.994	0.865	0.927	0.874	0.862	0.882
nonsurface	ensemble	0.974	0.868	0.922	0.869	0.854	0.878
